feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
Co_FR_fraction,formulation_loading,0.004244817199368201,0.004244817199368201,0.004202248914521384,0.004202248914521384,1.0,0.0,0.75,0.75,145.8,5,5
P_loading_real,formulation_loading,0.004106364490792358,0.004106364490792358,-0.0012141909452983994,-0.0012141909452983994,1.0,0.0,0.6666666666666666,0.6666666666666666,117.0,5,5
curing_RotBonds,molecular_descriptor,0.004076424437145895,0.004076424437145895,-0.0004926951070189768,-0.0004926951070189768,1.0,0.0,0.75,0.75,133.8,5,5
main_morgan_r2_67,molecular_fingerprint,0.004057249253977694,0.004057249253977694,0.00016072859017849907,0.00016072859017849907,1.0,0.0,0.5,0.5,114.2,5,5
main_morgan_r2_111,molecular_fingerprint,0.003934900993423483,0.003934900993423483,0.0010631282758583392,0.0010631282758583392,1.0,0.0,1.0,1.0,131.6,5,5
main_morgan_r2_69,molecular_fingerprint,0.0039033248903171313,0.0039033248903171313,0.000708573863669682,0.000708573863669682,1.0,0.0,0.6666666666666666,0.6666666666666666,135.2,5,5
Loading_total_FR_sq,formulation_loading,0.0038368514661629946,0.0038368514661629946,-0.0010298978638317658,-0.0010298978638317658,1.0,0.0,0.6666666666666666,0.3333333333333333,109.6,5,5
main_morgan_r2_34,molecular_fingerprint,0.0037417682532095353,0.0037417682532095353,0.0003248349295213007,0.0003248349295213007,1.0,0.0,0.5,0.5,147.0,5,5
main_morgan_r2_15,molecular_fingerprint,0.0037002507106522176,0.0037002507106522176,-0.0014925167140537028,-0.0014925167140537028,1.0,0.0,0.75,0.25,115.4,5,5
curing_HBD,molecular_descriptor,0.003683463731841012,0.003683463731841012,0.0010667208209008635,0.0010667208209008635,1.0,0.0,0.6666666666666666,0.6666666666666666,172.2,5,5
main_morgan_r2_60,molecular_fingerprint,0.0035841644895666562,0.0035841644895666562,0.001946766794329017,0.001946766794329017,1.0,0.0,0.5,0.5,140.0,5,5
main_morgan_r2_76,molecular_fingerprint,0.003485961491643133,0.003485961491643133,0.001315640221510501,0.001315640221510501,1.0,0.0,1.0,1.0,151.6,5,5
main_morgan_r2_84,molecular_fingerprint,0.003410046324818959,0.003410046324818959,-0.0007740592109256693,-0.0007740592109256693,1.0,0.0,1.0,0.0,165.4,5,5
main_morgan_r2_55,molecular_fingerprint,0.0033176449072697886,0.0033176449072697886,-0.0002928330711321937,-0.0002928330711321937,1.0,0.0,0.5,0.5,149.6,5,5
