feature,feature_group,mean_abs_shap,mean_signed_shap,rank,outer_fold,selected_view,selected_model,selected_requested_k,selected_effective_k
main_morgan_r2_121,molecular_fingerprint,0.0,0.0,216,3,compact,GBDT,260,260
main_morgan_r2_120,molecular_fingerprint,0.0,0.0,217,3,compact,GBDT,260,260
main_morgan_r2_118,molecular_fingerprint,0.0,0.0,218,3,compact,GBDT,260,260
main_morgan_r2_117,molecular_fingerprint,0.0,0.0,219,3,compact,GBDT,260,260
main_morgan_r2_116,molecular_fingerprint,0.0,0.0,220,3,compact,GBDT,260,260
main_morgan_r2_115,molecular_fingerprint,0.0,0.0,221,3,compact,GBDT,260,260
main_morgan_r2_114,molecular_fingerprint,0.0,0.0,222,3,compact,GBDT,260,260
co_morgan_r2_81,molecular_fingerprint,0.0,0.0,223,3,compact,GBDT,260,260
co_morgan_r2_80,molecular_fingerprint,0.0,0.0,224,3,compact,GBDT,260,260
main_morgan_r2_94,molecular_fingerprint,0.0,0.0,225,3,compact,GBDT,260,260
main_morgan_r2_93,molecular_fingerprint,0.0,0.0,226,3,compact,GBDT,260,260
main_morgan_r2_92,molecular_fingerprint,0.0,0.0,227,3,compact,GBDT,260,260
co_MolWt,molecular_descriptor,0.0,0.0,228,3,compact,GBDT,260,260
co_morgan_r2_3,molecular_fingerprint,0.0,0.0,229,3,compact,GBDT,260,260
co_morgan_r2_5,molecular_fingerprint,0.0,0.0,230,3,compact,GBDT,260,260
co_morgan_r2_9,molecular_fingerprint,0.0,0.0,231,3,compact,GBDT,260,260
co_morgan_r2_51,molecular_fingerprint,0.0,0.0,232,3,compact,GBDT,260,260
co_AromaticRings,molecular_descriptor,0.0,0.0,233,3,compact,GBDT,260,260
co_RingCount,molecular_descriptor,0.0,0.0,234,3,compact,GBDT,260,260
co_morgan_r2_1,molecular_fingerprint,0.0,0.0,235,3,compact,GBDT,260,260
co_morgan_r2_0,molecular_fingerprint,0.0,0.0,236,3,compact,GBDT,260,260
Main_FR_fraction,formulation_loading,0.0,0.0,237,3,compact,GBDT,260,260
S_content wt%,elemental_composition,0.0,0.0,238,3,compact,GBDT,260,260
Main_FR_present,other,0.0,0.0,239,3,compact,GBDT,260,260
Co_FR_present,other,0.0,0.0,240,3,compact,GBDT,260,260
Preparation_Method_DOPO-based (additive),curing_and_preparation,0.0,0.0,241,3,compact,GBDT,260,260
Synergy_type_P-Si-B,other,0.0,0.0,242,3,compact,GBDT,260,260
co_FractionCSP3,molecular_descriptor,0.0,0.0,243,3,compact,GBDT,260,260
co_HeavyAtomCount,other,0.0,0.0,244,3,compact,GBDT,260,260
Synergy_type_P-N-Si-Zr,other,0.0,0.0,245,3,compact,GBDT,260,260
Synergy_type_P-Si,other,0.0,0.0,246,3,compact,GBDT,260,260
Synergy_type_P-N-Si-Ti,other,0.0,0.0,247,3,compact,GBDT,260,260
co_HBA,other,0.0,0.0,248,3,compact,GBDT,260,260
P_content wt%,elemental_composition,0.0,0.0,249,3,compact,GBDT,260,260
curing_morgan_r2_1,molecular_fingerprint,0.0,0.0,250,3,compact,GBDT,260,260
co_HBD,other,0.0,0.0,251,3,compact,GBDT,260,260
co_TPSA,molecular_descriptor,0.0,0.0,252,3,compact,GBDT,260,260
curing_HeavyAtomCount,molecular_descriptor,0.0,0.0,253,3,compact,GBDT,260,260
curing_FractionCSP3,molecular_descriptor,0.0,0.0,254,3,compact,GBDT,260,260
curing_RingCount,molecular_descriptor,0.0,0.0,255,3,compact,GBDT,260,260
curing_AromaticRings,molecular_descriptor,0.0,0.0,256,3,compact,GBDT,260,260
curing_HBD,molecular_descriptor,0.0,0.0,257,3,compact,GBDT,260,260
curing_morgan_r2_10,molecular_fingerprint,0.0,0.0,258,3,compact,GBDT,260,260
curing_morgan_r2_8,molecular_fingerprint,0.0,0.0,259,3,compact,GBDT,260,260
curing_morgan_r2_5,molecular_fingerprint,0.0,0.0,260,3,compact,GBDT,260,260
