Candidate_ID,Candidate_Name,Source_Type,Design_Family,Synthesis_Level,Candidate_rank_50,Pareto_rank_50,Final_ranking_score_50,Loading_total_FR wt%_50,LOI_pred_50,PHRR_pred_50,THR_pred_50,V0_probability_50,Tg_pred_50,TS_pred_50,max_similarity_50,Candidate_rank_35,Pareto_rank_35,Final_ranking_score_35,Loading_total_FR wt%_35,LOI_pred_35,PHRR_pred_35,THR_pred_35,V0_probability_35,Tg_pred_35,TS_pred_35,max_similarity_35,Rank_shift_35_minus_50,Abs_rank_shift,Mean_rank,Worst_rank,Pareto_both,Top20_both,Final_priority
CAND_R2_194,DSD-OH-allyl,designed,P-N-S,B,42,1.0,0.5895321611541184,10.0,34.03305808764281,764.6132291294219,63.73328025153899,0.6941874662969815,155.7955780029297,78.14262371479515,0.7526881720430108,40,1.0,0.5967414050323369,10.0,34.03305808764281,751.2468277033558,63.73328025153899,0.6941874662969815,155.7955780029297,78.14262371479515,0.7526881720430108,-2,2,41.0,42,True,False,False
CAND_R2_196,DSD-NH-methyl,designed,P-N-S,B,118,2.0,0.5963418787294339,10.0,34.291224448926855,708.5780039624572,63.73328025153899,0.693736173810785,153.3741455078125,74.02779552029004,0.7608695652173914,115,2.0,0.6052689279540531,10.0,34.291224448926855,695.2116025363911,63.73328025153899,0.693736173810785,153.3741455078125,74.02779552029004,0.7608695652173914,-3,3,116.5,118,False,False,False
CAND_R2_198,DSD-NH-hydroxyethyl,designed,P-N-S,B,176,3.0,0.5621244170647828,10.0,34.125903473488485,767.8474978187907,63.73328025153899,0.6909496447701953,154.005126953125,73.32557769421066,0.7216494845360825,178,3.0,0.569234511809046,10.0,34.125903473488485,754.4810963927246,63.73328025153899,0.6909496447701953,154.005126953125,73.32557769421066,0.7216494845360825,2,2,177.0,178,False,False,False
CAND_R2_202,DOPO-PPO-amino,designed,P-N,B,50,1.0,0.5778360570034982,10.19,34.43292258619911,584.0554248860662,60.668592407332,0.6714754936794628,156.49522399902344,64.1547046418314,0.7974683544303798,48,1.0,0.5901288933625997,10.19,34.43292258619911,571.7324481453555,60.668592407332,0.6714754936794628,156.49522399902344,64.1547046418314,0.7974683544303798,-2,2,49.0,50,True,False,False
CAND_R2_203,DOPO-PPO-hydroxy,designed,P-only,B,178,3.0,0.5299359500310378,10.0,33.111558041552776,592.8229520858988,57.518244745483415,0.6470178588042008,152.11834716796875,70.64477494228002,0.8076923076923077,180,3.0,0.5424340573508656,10.0,33.111558041552776,579.4045752263793,57.518244745483415,0.6470178588042008,152.11834716796875,70.64477494228002,0.8076923076923077,2,2,179.0,180,False,False,False
CAND_R2_204,DOPO-PPO-hydroxymethyl,designed,P-only,B,131,2.0,0.5361457405810365,10.0,33.14533082029411,565.9546813641712,57.518244745483415,0.6440207848446485,152.3134002685547,70.4492658744702,0.7777777777777778,130,2.0,0.5485212212432764,10.0,33.14533082029411,554.7229501737776,57.518244745483415,0.6440207848446485,152.3134002685547,70.4492658744702,0.7777777777777778,-1,1,130.5,131,False,False,False
CAND_R2_205,DOPO-PPO-carboxamide,designed,P-N,B,115,2.0,0.6027982425520068,10.0,34.77478965921695,588.8890970276416,56.596204097632295,0.6636527879026805,152.1785888671875,71.96213750275233,0.7682926829268293,113,2.0,0.616125113944856,10.0,34.77478965921695,573.834324364779,56.596204097632295,0.6636527879026805,152.1785888671875,71.96213750275233,0.7682926829268293,-2,2,114.0,115,False,False,False
CAND_R2_206,DOPO-PPO-boronic-acid,designed,P-B,B,120,2.0,0.5909551756509283,10.0,34.45151327336929,573.1119502301209,56.596204097632295,0.6565232869342494,152.40194702148438,71.96213750275233,0.7777777777777778,116,2.0,0.6040575397444172,10.0,34.45151327336929,559.6935733706014,56.596204097632295,0.6565232869342494,152.40194702148438,71.96213750275233,0.7777777777777778,-4,4,118.0,120,False,False,False
CAND_R2_208,DOPO-PPO-trimethoxysilyl,designed,P-Si,B,134,2.0,0.5226571587951419,10.0,41.97991790653736,331.77823858559503,76.78437418526462,0.6043102852851424,171.22877502441406,55.97884744471328,0.7411764705882353,134,2.0,0.5226571587951419,10.0,41.97991790653736,351.01612344712737,76.78437418526462,0.6043102852851424,171.22877502441406,55.97884744471328,0.7411764705882353,0,0,134.0,134,False,False,False
CAND_R2_209,DOPO-PPO-triethoxysilyl,designed,P-Si,B,142,2.0,0.4551374250094212,3.5,39.83655928980616,494.7769389220369,87.34156533338135,0.5953132843658173,183.4317169189453,59.319355328772616,0.7078651685393258,143,2.0,0.4569130351316043,3.5,39.83655928980616,513.0808573076563,87.34156533338135,0.5953132843658173,183.4317169189453,59.319355328772616,0.7078651685393258,1,1,142.5,143,False,False,False
