task,grouping,group,n,Accuracy,Balanced_Accuracy,Macro_F1,ROC_AUC,PR_AUC,Brier,ECE,Accuracy_bootstrap_CI_low,Accuracy_bootstrap_CI_high,reliable_threshold,caution_threshold
UL94_V0,AD_zone_temp,In_domain,30,0.6666666666666666,0.7291666666666667,0.625,0.7916666666666667,0.33503441003441004,0.2300482138077214,0.2657832411096548,,,0.8,0.45
UL94_V0,AD_zone_temp,Caution,422,0.8009478672985783,0.8061025408348457,0.800786782061369,0.8731624319419238,0.7887050099175374,0.14004989582744673,0.0493471140926129,,,0.8,0.5
UL94_V0,AD_zone_temp,Extrapolation,147,0.7482993197278912,0.7472795497185741,0.7459954233409611,0.8296435272045029,0.7597910540261505,0.16639629412108978,0.05009009926395301,,,0.8,0.5
UL94_V0,AD_zone_temp,In_domain,30,0.6666666666666666,0.7291666666666667,0.625,0.7916666666666667,0.33503441003441004,0.2300482138077214,0.2657832411096548,,,0.8,0.5
UL94_V0,AD_zone_temp,Caution,341,0.8181818181818182,0.8241551939924906,0.8180550774526678,0.8885759977749965,0.8088582612276674,0.1306022261966702,0.05608738007906047,,,0.8,0.55
UL94_V0,AD_zone_temp,Extrapolation,228,0.7412280701754386,0.7415966386554622,0.7397814101944096,0.816604419545596,0.7108318433283121,0.171166456762799,0.0634611142186892,,,0.8,0.55
UL94_V0,AD_zone_temp,In_domain,30,0.6666666666666666,0.7291666666666667,0.625,0.7916666666666667,0.33503441003441004,0.2300482138077214,0.2657832411096548,,,0.8,0.55
UL94_V0,AD_zone_temp,Caution,260,0.8346153846153846,0.8394136415628198,0.833727449843097,0.9031364758292697,0.8171123847487924,0.12347074356534805,0.0679579447034015,,,0.8,0.6
UL94_V0,AD_zone_temp,Extrapolation,309,0.7475728155339806,0.7506536223327991,0.7474432056333306,0.8252509066374294,0.7458308897629014,0.16653371504204606,0.0614698603297821,,,0.8,0.6
UL94_V0,AD_zone_temp,In_domain,30,0.6666666666666666,0.7291666666666667,0.625,0.7916666666666667,0.33503441003441004,0.2300482138077214,0.2657832411096548,,,0.8,0.6
