feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
main_morgan_r2_48,molecular_fingerprint,0.0012900672365287,0.0021501120608811,0.0001443256155151,0.0002405426925251,0.6,0.0,1.0,1.0,150.8,3,5,Low
P_x_CuringAgent_Has_S,molecular_descriptor,0.0012717565321984,0.0063587826609921,0.0002305420643029,0.0011527103215145,0.2,0.0,1.0,1.0,185.8,1,5,Low
main_morgan_r2_83,molecular_fingerprint,0.0012423872809043,0.0015529841011304,-0.0012423872809043,-0.0015529841011304,0.8,0.0,1.0,0.0,126.0,4,5,Low
main_morgan_r2_25,molecular_fingerprint,0.0010300329781835,0.0012875412227294,-0.0005843880797658,-0.0007304850997073,0.8,0.0,1.0,0.0,127.6,4,5,Low
main_morgan_r2_21,molecular_fingerprint,0.0010253225744213,0.0010253225744213,4.019466894969806e-05,4.019466894969806e-05,1.0,0.0,0.5,0.5,118.2,5,5,Low
Has_N,elemental_composition,0.0010016443742051,0.0010016443742051,-3.740296244828242e-05,-3.740296244828242e-05,1.0,0.0,1.0,0.0,104.6,5,5,Low
main_morgan_r2_109,molecular_fingerprint,0.0006898606196045,0.0034493030980229,0.0006898606196045,0.0034493030980229,0.2,0.0,1.0,1.0,173.8,1,5,Low
S/P_ratio_sqrt,elemental_composition,0.0006793698680561,0.0006793698680561,0.0001675364107126,0.0001675364107126,1.0,0.0,0.5,0.5,110.8,5,5,Low
curing_AromaticRings,molecular_descriptor,0.0004499940601953,0.0007499901003256,0.0004499940601953,0.0007499901003256,0.6,0.0,1.0,1.0,160.4,3,5,Low
main_morgan_r2_65,molecular_fingerprint,0.000371949934902,0.0018597496745104,-0.000171046839215,-0.0008552341960752,0.2,0.0,1.0,0.0,184.0,1,5,Low
main_morgan_r2_12,molecular_fingerprint,0.0003714262426325,0.0004642828032906,0.0003187412749263,0.0003984265936579,0.8,0.0,0.5,0.5,125.2,4,5,Low
