feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
main_morgan_r3_7,molecular_fingerprint,0.0001926847593779,0.0001926847593779,0.0001178958064688,0.0001178958064688,1.0,0.0,1.0,1.0,328.2,5,5,Low
main_morgan_r3_60,molecular_fingerprint,0.0001920267469113,0.0001920267469113,7.841584630803234e-05,7.841584630803234e-05,1.0,0.0,0.75,0.75,296.0,5,5,Low
main_morgan_r3_85,molecular_fingerprint,0.0001914391625992,0.0001914391625992,-6.14546658708611e-05,-6.14546658708611e-05,1.0,0.0,0.75,0.25,328.8,5,5,Low
main_morgan_r3_39,molecular_fingerprint,0.0001913817032816,0.0001913817032816,-3.311448463925615e-05,-3.311448463925615e-05,1.0,0.0,0.75,0.25,301.8,5,5,Low
main_morgan_r3_371,molecular_fingerprint,0.0001899141721157,0.0001899141721157,-1.3859056474056308e-05,-1.3859056474056308e-05,1.0,0.0,0.5,0.5,349.4,5,5,Low
main_morgan_r3_103,molecular_fingerprint,0.0001887087850864,0.0001887087850864,-5.135436693737539e-05,-5.135436693737539e-05,1.0,0.0,0.5,0.5,331.6,5,5,Low
co_morgan_r3_183,molecular_fingerprint,0.0001883669577743,0.0002354586972179,-0.0001483973614782,-0.0001854967018478,0.8,0.0,1.0,0.0,466.2,4,5,Low
main_morgan_r3_466,molecular_fingerprint,0.0001882858788705,0.0001882858788705,-7.383075821978797e-05,-7.383075821978797e-05,1.0,0.0,0.75,0.25,439.0,5,5,Low
main_morgan_r3_15,molecular_fingerprint,0.0001882089043405,0.0001882089043405,-0.0001630686803371,-0.0001630686803371,1.0,0.0,1.0,0.0,302.6,5,5,Low
main_morgan_r3_293,molecular_fingerprint,0.0001865900334183,0.0001865900334183,-0.0001004363759886,-0.0001004363759886,1.0,0.0,1.0,0.0,347.2,5,5,Low
main_morgan_r3_296,molecular_fingerprint,0.0001837792756224,0.0001837792756224,-3.834251696572123e-05,-3.834251696572123e-05,1.0,0.0,0.8,0.2,365.6,5,5,Low
main_morgan_r3_487,molecular_fingerprint,0.0001832341517114,0.0001832341517114,-6.327587723431963e-05,-6.327587723431963e-05,1.0,0.0,0.75,0.25,391.8,5,5,Low
main_morgan_r3_99,molecular_fingerprint,0.0001807250151565,0.0001807250151565,5.893617430030118e-05,5.893617430030118e-05,1.0,0.0,0.75,0.75,328.4,5,5,Low
main_morgan_r3_19,molecular_fingerprint,0.0001796057414642,0.0001796057414642,-3.648081012635138e-05,-3.648081012635138e-05,1.0,0.0,0.6,0.4,315.8,5,5,Low
main_morgan_r3_147,molecular_fingerprint,0.0001796019545908,0.0001796019545908,-3.012959185254814e-05,-3.012959185254814e-05,1.0,0.0,0.75,0.25,319.8,5,5,Low
main_morgan_r3_197,molecular_fingerprint,0.0001772840275954,0.0001772840275954,-4.699769236542137e-05,-4.699769236542137e-05,1.0,0.0,0.75,0.25,337.8,5,5,Low
main_morgan_r3_362,molecular_fingerprint,0.0001767994477132,0.0001767994477132,4.538242297637081e-05,4.538242297637081e-05,1.0,0.0,0.5,0.5,384.8,5,5,Low
co_morgan_r3_507,molecular_fingerprint,0.0001763799474126,0.0002939665790211,-0.0001763799474126,-0.0002939665790211,0.6,0.0,1.0,0.0,512.4,3,5,Low
